"";"dataModified[, grID]";"dataModified[, genderID]";"wiek_minimun";"hsCRP_minimun";"ERY_minimun";"PLT_minimun";"HGB_minimun";"HCT_minimun";"MCHC_minimun";"MON_minimun";"LEU_minimun";"wiek_maksimum";"hsCRP_maksimum";"ERY_maksimum";"PLT_maksimum";"HGB_maksimum";"HCT_maksimum";"MCHC_maksimum";"MON_maksimum";"LEU_maksimum";"wiek_mediana";"hsCRP_mediana";"ERY_mediana";"PLT_mediana";"HGB_mediana";"HCT_mediana";"MCHC_mediana";"MON_mediana";"LEU_mediana";"wiek_srednia";"hsCRP_srednia";"ERY_srednia";"PLT_srednia";"HGB_srednia";"HCT_srednia";"MCHC_srednia";"MON_srednia";"LEU_srednia";"wiek_odchylenie_standardowe";"hsCRP_odchylenie_standardowe";"ERY_odchylenie_standardowe";"PLT_odchylenie_standardowe";"HGB_odchylenie_standardowe";"HCT_odchylenie_standardowe";"MCHC_odchylenie_standardowe";"MON_odchylenie_standardowe";"LEU_odchylenie_standardowe"
"1";"CHOR1";"k";17;0,803675;3,53;179;9,5049;0,28;32,5556;0,48;9,23;39;5,36056;33;333;14,499;0,405;36,8742;1,19;15,84;29,5;2,877635;4,455;240,5;13,0491;0,383;35,13015;0,73;11,76;29,2857142857143;3,13319607142857;6,30642857142857;246,071428571429;12,5888142857143;0,368428571428571;35,1657428571429;0,766428571428571;11,9857142857143;5,52516719452656;1,60627644898449;7,69132639070477;44,1718049398975;1,52421786341876;0,0383981455596176;1,07926381512463;0,212117788136582;2,16319818177308
"2";"CHOR1";"m";23;0,487607;3,66;128;11,277;0,334;34,3827;0,56;6,79;43;42,6499;4,51;336;13,0491;0,384;36,3759;1,52;16,81;29;4,69938;4,18;177;12,1692291780822;0,356;35,0471;0,857027027027027;10,55;29,9090909090909;9,88280063636364;4,16181818181818;198,818181818182;12,163611743462;0,357363636363636;35,08183;0,974275184275184;12,0681818181818;6,56436661764934;12,4691858931602;0,29610194804554;56,0746256016359;0,535524454729089;0,0169190586456382;0,573968856733534;0,34764376068267;3,14859911129321
"3";"CHOR2";"k";22;0,335089;3,25;96;9,9882;0,0423;32,8878;0,29;8,86;41;19,2124;4,82;314;14,3379;0,39;38,8674;7;16,08;33;3,24299;4;194,5;12,00195;0,3315;35,13015;0,655;11,2;32,4166666666667;6,136922;4,005;206,083333333333;11,934825;0,313691666666667;35,62845;1,2725;11,6958333333333;5,68024220567675;6,01057555101943;0,477026776454473;62,2041482588264;1,24495696174242;0,0909743965813093;1,75426650483899;1,84062304174923;2,55969621185204
"4";"CHOR2";"m";21;0,886946;3,73;91;9,8271;0,298;34,0505;0,14;7,95;42;9,82813;5,04;456;22,2318;0,412;36,7081;0,99;16,59;27;3,44546;4,38;195;13,3713;0,389;35,5454;0,7;12,47;27,8461538461538;4,98135892307692;4,37538461538462;211,923076923077;13,6104715384615;0,375769230769231;35,4815153846154;0,657692307692308;12,3530769230769;5,39824282901628;3,05812962643537;0,391420817548398;88,0477725806295;2,89511122852487;0,0328409141320037;0,706457171202608;0,258461920024138;2,12543871790973
"5";"KONTROLA";"k";28;0,916745;3,09;147;9,5049;0,279;32,0573;0,48;4,83;39;14,3951;5,05;434;13,2102;0,389;35,0471;1,25;14,51;32;3,804335;4,175;208;11,35755;0,342;34,2166;0,715;10,505;32,3571428571429;5,58388892857143;4,14642857142857;228,714285714286;11,2141520841487;0,339142857142857;33,8844;0,722142857142857;10,7814285714286;3,62909488307066;4,84478877129222;0,477487126574064;74,1489442545606;1,20020348879953;0,0332816815931877;1,02597976288334;0,188482954602861;2,69498924542697
"6";"KONTROLA";"m";23;0,75844;3,13;157;9,666;0,282;33,22;0,35;7,74;48;9,64872;4,44;313;12,7269;0,383;36,0437;1,1;17,46;32;4,2528;3,85;219;11,5992;0,338;35,3793;0,81;11,4;32,2727272727273;4,92766181818182;3,84363636363636;222,272727272727;11,4088090909091;0,335545454545455;35,0622;0,809090909090909;12,0972727272727;7,64317877706533;2,7487322811646;0,385519720047438;50,9903734230117;0,936095478521871;0,0273764995438191;0,886589913093986;0,183164109227466;3,50391235880434
