"";"dataModified...grID.";"minimun";"maksimum";"mediana";"srednia";"odchylenie_standardowe";"IQR"
"1";"CHOR1";17;43;29;29,56;5,88132638101305;6
"2";"CHOR2";21;42;30;30,04;5,89830484122345;8
"3";"KONTROLA";23;48;32;32,32;5,61040699652589;6
